,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,12,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AreaExit,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
BedEntry,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedExit,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,0,0,0,78,2,0,1,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Nobody,0,0,21,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
Sit,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
SittingBed,0,0,39,1,0,0,0,0,0,0,0,69,5,0,0,0,0,0
SittingBedrail,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0
Stand,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0
StandFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
StandingFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,268,0,0
WakeUp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
Walk,0,0,0,1,0,0,0,0,0,0,8,1,0,3,0,0,0,52
